Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	350	6.31	5.87	0.059	0.194	97.3576	0.2445	8.28252	8.53213	
1	350	3.93	5.40	0.047	0.177	88.9298	0.2252	4.97740	5.56750	
2	350	4.30	5.04	0.062	0.179	89.8211	0.2286	4.12103	5.24678	
3	350	4.46	5.27	0.071	0.179	89.8070	0.2285	5.40757	5.03029	
4	350	5.50	5.08	0.062	0.179	89.7568	0.2273	5.71788	4.87895	
5	350	4.39	4.83	0.062	0.179	89.8200	0.2275	6.65382	4.75990	
6	350	6.26	4.64	0.061	0.179	90.1070	0.2285	4.72556	4.55080	
7	350	4.22	4.38	0.061	0.180	90.5115	0.2298	4.95112	4.53246	
8	350	4.64	4.43	0.062	0.177	88.9765	0.2259	4.60227	4.54077	
9	350	4.32	4.49	0.062	0.178	89.3906	0.2264	3.24048	4.38491	
10	350	3.09	4.61	0.062	0.178	89.6372	0.2268	4.40747	4.34262	
11	350	4.20	4.20	0.062	0.179	89.7277	0.2274	3.57059	4.23564	
12	350	4.92	4.19	0.062	0.177	88.9394	0.2259	4.08951	4.15123	
13	350	3.28	4.06	0.058	0.178	89.5103	0.2275	3.34001	4.21012	
14	350	3.98	4.07	0.062	0.178	89.1673	0.2257	3.53181	4.14620	
15	350	3.47	3.89	0.062	0.178	89.5668	0.2263	2.77298	4.02369	
16	350	4.43	3.98	0.062	0.178	89.2125	0.2257	2.72619	4.05764	
17	350	3.55	4.08	0.063	0.178	89.6170	0.2267	4.58789	3.90214	
18	350	3.77	4.16	0.063	0.179	89.7080	0.2270	3.65974	3.93067	
19	350	3.34	3.87	0.063	0.178	89.5557	0.2263	3.53456	3.91352	
20	350	5.94	4.08	0.062	0.178	89.5486	0.2271	5.10463	3.85163	
21	350	4.15	4.04	0.062	0.179	89.7523	0.2272	3.72247	3.81519	
22	350	2.97	4.11	0.072	0.179	89.7410	0.2269	4.09949	3.83986	
23	350	2.94	4.13	0.064	0.179	89.9780	0.2279	4.03752	3.75148	
24	350	3.60	3.90	0.062	0.179	89.7801	0.2272	3.69854	3.76692	
25	350	4.97	4.32	0.063	0.179	89.9372	0.2279	3.95479	3.69650	
26	350	4.46	4.11	0.051	0.180	90.2256	0.2288	3.17786	3.74805	
27	350	4.68	4.00	0.062	0.182	91.2116	0.2321	2.34065	3.72674	
28	350	3.01	3.78	0.063	0.180	90.2881	0.2285	3.68674	3.69537	
29	350	3.77	3.88	0.062	0.178	89.3201	0.2260	3.13111	3.68602	
30	350	3.79	3.99	0.064	0.179	89.7407	0.2273	5.19812	3.65059	
31	350	2.04	3.90	0.048	0.178	89.5708	0.2264	5.89509	3.59604	
32	350	3.39	3.87	0.062	0.179	90.0102	0.2274	1.87744	3.60117	
33	350	3.18	3.84	0.047	0.179	89.8791	0.2272	3.41388	3.53661	
34	350	3.34	3.76	0.062	0.179	89.7936	0.2273	2.98863	3.57377	
35	350	2.38	3.87	0.062	0.179	89.7300	0.2274	3.51817	3.55617	
36	350	2.64	3.91	0.062	0.179	89.7127	0.2271	3.42633	3.49020	
37	350	3.15	3.82	0.063	0.179	89.7815	0.2272	2.97692	3.46883	
38	350	3.37	3.84	0.063	0.179	89.7047	0.2267	4.03115	3.48620	
39	350	3.82	4.05	0.062	0.179	89.7523	0.2269	3.65875	3.54856	
40	350	3.32	3.67	0.062	0.179	89.7654	0.2269	3.49391	3.44299	
41	350	3.34	3.77	0.062	0.178	89.1687	0.2261	3.40795	3.51445	
42	350	2.95	3.80	0.062	0.178	89.5828	0.2264	4.54361	3.45471	
43	350	4.30	3.81	0.062	0.179	90.0944	0.2285	4.05620	3.43918	
44	350	4.18	3.78	0.062	0.179	89.9956	0.2278	3.72226	3.39673	
45	350	2.75	3.84	0.062	0.179	89.7270	0.2268	3.57081	3.50325	
46	350	3.35	3.76	0.074	0.179	89.8085	0.2270	2.71656	3.31303	
47	350	4.15	3.85	0.063	0.179	89.7530	0.2267	4.25258	3.41892	
48	350	4.53	3.73	0.062	0.179	89.9541	0.2276	2.54196	3.37498	
49	350	3.44	3.73	0.062	0.180	90.3604	0.2286	3.25011	3.27883	
50	350	4.37	3.87	0.063	0.179	89.9332	0.2274	2.45358	3.41428	
51	350	2.49	3.72	0.062	0.180	90.3832	0.2289	2.72788	3.33688	
52	350	4.40	3.81	0.047	0.179	89.6977	0.2267	3.17574	3.35135	
53	350	2.54	3.92	0.062	0.179	90.1901	0.2283	3.00136	3.32133	
54	350	3.90	3.75	0.062	0.179	89.9603	0.2276	2.99073	3.28945	
55	350	4.03	3.73	0.062	0.179	89.9790	0.2274	5.09508	3.32604	
56	350	2.81	3.73	0.062	0.180	90.2654	0.2287	3.83553	3.32760	
57	350	4.68	3.72	0.069	0.179	89.9538	0.2278	3.02408	3.23197	
58	350	3.01	3.69	0.062	0.179	89.9603	0.2276	2.02902	3.32891	
59	350	2.52	3.57	0.063	0.179	90.1454	0.2281	2.92535	3.29503	
60	350	5.30	3.79	0.062	0.178	89.4865	0.2267	3.27253	3.31957	
61	350	2.82	3.76	0.062	0.178	89.3895	0.2256	3.26641	3.26251	
62	350	2.92	3.74	0.062	0.179	89.7981	0.2265	1.94946	3.24152	
63	350	4.32	3.84	0.062	0.178	89.5561	0.2262	3.28377	3.28680	
64	350	2.96	3.75	0.063	0.179	89.7572	0.2266	4.02267	3.27520	
65	350	3.20	3.67	0.062	0.179	89.7320	0.2262	3.19601	3.22801	
66	350	5.64	3.85	0.062	0.179	89.9816	0.2272	2.85191	3.23363	
67	350	2.38	3.76	0.062	0.179	89.7832	0.2263	3.86642	3.22187	
68	350	4.94	3.70	0.062	0.179	90.0203	0.2277	3.09331	3.21063	
69	350	2.39	3.75	0.062	0.179	90.0857	0.2276	2.40366	3.22482	
70	350	4.64	3.75	0.062	0.179	89.9005	0.2269	3.59685	3.20050	
71	350	3.00	3.65	0.058	0.179	90.0189	0.2270	2.20869	3.24223	
72	350	4.01	3.72	0.062	0.179	89.9561	0.2268	3.82706	3.25774	
73	350	3.05	3.61	0.062	0.179	90.0023	0.2272	2.24617	3.25161	
74	350	4.05	3.64	0.055	0.179	90.1342	0.2276	2.11276	3.21748	
75	350	3.92	3.74	0.062	0.179	89.9423	0.2269	3.24993	3.19341	
76	350	3.04	3.62	0.062	0.179	90.1553	0.2283	2.91608	3.19627	
77	350	3.27	3.73	0.062	0.179	89.9801	0.2271	3.31144	3.11143	
78	350	4.02	3.71	0.047	0.179	90.1562	0.2281	2.28257	3.17001	
79	350	3.95	3.90	0.062	0.179	90.1378	0.2279	3.64056	3.17345	
80	350	5.76	3.58	0.063	0.180	90.1714	0.2280	2.79561	3.22128	
81	350	4.22	4.00	0.063	0.179	89.9349	0.2269	3.40016	3.16790	
82	350	3.90	3.59	0.062	0.180	90.3830	0.2282	3.61144	3.22824	
83	350	2.96	3.62	0.062	0.179	89.9511	0.2271	3.07024	3.16460	
84	350	3.89	3.86	0.062	0.179	89.9464	0.2273	2.71798	3.15999	
85	350	2.88	3.80	0.062	0.179	89.9332	0.2268	1.81831	3.17985	
86	350	5.32	3.73	0.062	0.179	89.7217	0.2266	3.43422	3.21189	
87	350	1.94	3.71	0.062	0.180	90.2125	0.2279	2.13100	3.18565	
88	350	2.99	3.62	0.047	0.179	90.1171	0.2274	3.33890	3.14770	
89	350	2.72	3.62	0.059	0.179	89.7598	0.2263	2.95459	3.14700	
90	350	3.38	3.72	0.063	0.179	89.7734	0.2266	2.63985	3.13819	
91	350	4.24	3.69	0.062	0.180	90.3100	0.2285	3.71212	3.17561	
92	350	3.80	3.72	0.062	0.179	89.7575	0.2265	2.02771	3.11074	
93	350	3.85	3.71	0.062	0.179	89.9602	0.2273	3.57785	3.13821	
94	350	3.64	3.56	0.062	0.179	89.9474	0.2273	3.41236	3.13574	
95	350	3.87	3.61	0.056	0.178	89.2827	0.2258	2.77901	3.17006	
96	350	3.54	3.64	0.062	0.178	89.3873	0.2257	2.35184	3.17718	
97	350	3.58	3.64	0.047	0.179	89.9682	0.2271	2.84102	3.19168	
98	350	3.47	3.67	0.053	0.178	89.3758	0.2257	3.50274	3.09064	
99	350	6.91	3.94	0.075	0.179	89.9767	0.2274	3.05213	3.08438	
100	350	3.69	3.98	0.062	0.178	89.5139	0.2260	2.94231	3.15177	
101	350	6.12	3.70	0.063	0.179	89.7775	0.2270	3.58863	3.14711	
102	350	3.06	3.66	0.070	0.179	89.9599	0.2276	2.81407	3.14536	
103	350	3.99	3.69	0.063	0.179	89.7351	0.2264	3.38761	3.14920	
104	350	3.40	3.74	0.063	0.180	90.2090	0.2283	3.37651	3.14025	
105	350	4.68	3.70	0.063	0.179	89.9363	0.2274	2.61035	3.12921	
106	350	4.07	3.69	0.062	0.179	89.7636	0.2265	2.12224	3.10302	
107	350	3.29	3.63	0.052	0.179	89.7519	0.2268	4.18307	3.14629	
108	350	2.76	3.79	0.075	0.178	89.5312	0.2259	2.66806	3.06108	
109	350	3.86	3.67	0.063	0.179	89.8135	0.2267	3.80283	3.11857	
110	350	3.33	3.55	0.047	0.179	89.8758	0.2272	2.66976	3.12904	
111	350	3.35	3.52	0.062	0.180	90.2831	0.2300	2.71849	3.11698	
112	350	3.68	3.58	0.047	0.179	89.9383	0.2286	3.58806	3.08080	
113	350	3.84	3.66	0.062	0.178	89.3918	0.2257	2.66134	3.05602	
114	350	3.67	3.77	0.047	0.178	89.4034	0.2258	3.51148	3.15081	
115	350	3.16	3.69	0.062	0.179	89.7603	0.2269	3.23220	3.08523	
116	350	3.68	3.61	0.062	0.178	89.3265	0.2255	3.37694	3.11000	
117	350	3.65	3.75	0.062	0.179	89.7848	0.2267	3.06207	3.09470	
118	350	2.16	3.75	0.062	0.178	89.5530	0.2259	3.32055	3.14817	
119	350	3.19	3.72	0.062	0.178	89.5302	0.2260	3.12555	3.08125	
120	350	4.58	3.69	0.062	0.179	89.7487	0.2267	2.76664	3.04270	
121	350	3.09	3.72	0.063	0.178	89.5636	0.2262	4.26696	3.09093	
122	350	3.10	3.53	0.063	0.179	89.9865	0.2273	3.18818	3.06346	
123	350	1.92	3.62	0.062	0.179	89.9779	0.2274	3.46052	3.06765	
124	350	3.32	3.67	0.047	0.179	89.9561	0.2275	3.61335	3.09845	
125	350	4.31	3.58	0.047	0.179	89.9042	0.2273	1.96336	3.09718	
126	350	5.04	3.62	0.062	0.179	89.7686	0.2269	3.32597	3.00069	
127	350	3.01	3.70	0.062	0.178	89.5295	0.2259	2.78018	3.09044	
128	350	4.96	3.72	0.047	0.179	89.9773	0.2274	3.37225	3.12869	
129	350	1.87	3.62	0.062	0.179	90.1620	0.2283	3.40765	3.05770	
130	350	1.61	3.59	0.063	0.179	89.9035	0.2272	2.80451	3.03264	
131	350	4.41	3.57	0.047	0.179	89.8095	0.2271	2.39756	3.07105	
132	350	5.60	3.68	0.057	0.179	89.9339	0.2275	3.14859	3.03713	
133	350	3.56	3.61	0.062	0.179	90.1227	0.2280	2.43303	3.06340	
134	350	3.98	3.63	0.069	0.198	99.7067	0.2551	2.52263	3.12279	
135	350	3.23	3.75	0.063	0.193	96.9948	0.2508	3.44040	3.13112	
136	350	5.52	3.72	0.063	0.179	90.1663	0.2280	2.78929	3.12686	
