Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	450	5.79	5.45	0.064	0.227	113.7051	0.2898	5.90606	8.50668	
1	450	4.38	4.83	0.060	0.197	99.0408	0.2459	6.13191	5.34709	
2	450	4.36	4.62	0.050	0.197	98.6555	0.2447	7.77321	5.05922	
3	450	4.44	4.41	0.066	0.199	99.8715	0.2490	5.05762	4.80991	
4	450	5.15	4.40	0.062	0.197	98.8626	0.2452	4.00651	4.70753	
5	450	4.11	4.38	0.059	0.210	105.3932	0.2639	4.54281	4.56532	
6	450	4.91	4.31	0.061	0.201	100.9339	0.2513	4.75240	4.49809	
7	450	3.44	4.35	0.060	0.200	100.6569	0.2507	5.12675	4.41942	
8	450	4.91	4.09	0.062	0.201	100.6961	0.2498	3.42072	4.36096	
9	450	3.77	4.05	0.059	0.196	98.2387	0.2437	2.81727	4.26962	
10	450	4.07	4.06	0.061	0.197	99.0268	0.2463	4.52451	4.26212	
11	450	3.28	3.91	0.064	0.198	99.2442	0.2455	3.10729	4.15050	
12	450	4.84	4.01	0.056	0.196	98.1974	0.2435	3.80509	4.09875	
13	450	4.25	4.02	0.060	0.196	98.4750	0.2432	3.82615	4.02127	
14	450	3.75	4.04	0.060	0.196	98.4437	0.2432	3.91698	4.06411	
15	450	3.07	4.06	0.060	0.197	98.9193	0.2449	3.85306	3.98966	
16	450	4.42	4.08	0.066	0.200	100.5677	0.2509	5.33566	3.94226	
17	450	3.06	3.83	0.070	0.197	98.8521	0.2444	2.40258	3.91435	
18	450	4.11	3.80	0.066	0.196	98.2629	0.2432	5.34276	3.89727	
19	450	4.20	3.73	0.056	0.195	98.0645	0.2433	3.21614	3.87766	
20	450	3.74	3.61	0.060	0.195	97.9719	0.2422	3.30841	3.84557	
21	450	3.59	3.84	0.056	0.195	98.0769	0.2428	4.13418	3.82749	
22	450	3.98	3.63	0.057	0.197	99.0578	0.2452	3.50093	3.73292	
23	450	3.92	3.75	0.060	0.198	99.2489	0.2457	3.28030	3.72884	
24	450	3.90	3.74	0.062	0.197	98.8644	0.2446	2.49765	3.74039	
25	450	4.37	3.61	0.054	0.197	98.8423	0.2440	3.23040	3.65908	
26	450	4.06	3.81	0.064	0.196	98.2104	0.2433	4.14992	3.70736	
27	450	3.10	3.58	0.060	0.197	99.0858	0.2452	3.16598	3.63894	
28	450	3.54	3.57	0.051	0.195	98.0209	0.2426	3.25721	3.64988	
29	450	2.98	3.70	0.064	0.196	98.2919	0.2435	3.80152	3.60783	
30	450	3.46	3.70	0.060	0.197	99.0835	0.2454	3.54371	3.57636	
31	450	4.32	3.69	0.060	0.197	98.6761	0.2438	3.37016	3.52666	
32	450	3.81	3.53	0.064	0.197	99.0002	0.2449	3.65704	3.54991	
33	450	4.19	3.61	0.064	0.195	98.0211	0.2426	5.29931	3.56528	
34	450	3.69	3.61	0.060	0.196	98.4884	0.2433	3.80602	3.54215	
35	450	3.59	3.50	0.060	0.196	98.4311	0.2430	3.35868	3.49929	
36	450	3.44	3.64	0.064	0.195	97.8548	0.2422	3.54494	3.54563	
37	450	3.93	3.49	0.056	0.196	98.5335	0.2437	3.28508	3.47663	
38	450	3.88	3.54	0.060	0.195	98.1043	0.2430	3.09961	3.46662	
39	450	4.75	3.49	0.062	0.196	98.3995	0.2433	2.37393	3.41971	
40	450	3.57	3.53	0.060	0.197	98.8594	0.2443	4.38804	3.44364	
41	450	1.90	3.50	0.049	0.197	98.8745	0.2443	4.00944	3.39560	
42	450	3.54	3.63	0.058	0.197	98.8639	0.2442	3.64873	3.41203	
43	450	3.23	3.67	0.058	0.197	98.6589	0.2436	4.32825	3.36037	
44	450	3.49	3.50	0.067	0.197	98.6409	0.2437	3.23261	3.28968	
45	450	3.48	3.30	0.060	0.197	98.8467	0.2443	2.84469	3.24406	
46	450	4.12	3.43	0.064	0.196	98.3625	0.2437	3.56870	3.23230	
47	450	4.25	3.46	0.056	0.197	99.0671	0.2450	2.84501	3.18951	
48	450	3.54	3.28	0.064	0.197	99.0418	0.2452	4.13767	3.19340	
49	450	2.66	3.28	0.064	0.196	98.2913	0.2435	2.81648	3.22220	
50	450	3.32	3.65	0.060	0.197	99.1242	0.2456	3.62693	3.21648	
51	450	4.97	3.43	0.054	0.197	99.0129	0.2448	3.00729	3.14237	
52	450	4.03	3.45	0.060	0.197	99.0541	0.2447	3.59445	3.19274	
53	450	3.66	3.53	0.060	0.197	99.0647	0.2447	4.29988	3.18003	
54	450	4.59	3.48	0.060	0.197	99.0448	0.2446	2.48103	3.13122	
55	450	2.70	3.36	0.060	0.197	99.0720	0.2448	3.38071	3.12669	
56	450	3.94	3.43	0.057	0.198	99.2998	0.2450	3.87804	3.11256	
57	450	2.90	3.39	0.064	0.197	98.8166	0.2440	3.65383	3.16497	
58	450	3.51	3.44	0.062	0.197	99.0471	0.2445	3.03567	3.13631	
59	450	4.28	3.42	0.064	0.198	99.2401	0.2455	2.73148	3.12466	
60	450	3.57	3.47	0.060	0.197	99.0395	0.2447	2.98180	3.13282	
61	450	4.50	3.52	0.064	0.197	99.0482	0.2449	3.38531	3.10381	
62	450	3.55	3.37	0.061	0.197	99.0514	0.2448	3.01341	3.07082	
63	450	4.16	3.43	0.064	0.197	98.8298	0.2440	2.03116	3.05667	
64	450	3.59	3.41	0.060	0.198	99.2706	0.2454	3.21271	3.10783	
65	450	3.86	3.40	0.050	0.198	99.2599	0.2454	1.93523	3.13045	
66	450	5.66	3.34	0.060	0.197	99.0625	0.2446	3.88966	3.01294	
67	450	2.53	3.33	0.056	0.197	98.8130	0.2440	3.42464	3.00087	
68	450	3.23	3.35	0.060	0.197	99.0603	0.2449	1.88820	2.98795	
69	450	3.54	3.30	0.060	0.198	99.2376	0.2455	2.73453	2.97045	
70	450	3.07	3.29	0.052	0.197	99.0338	0.2447	3.58102	2.98873	
71	450	4.15	3.22	0.064	0.198	99.2968	0.2455	2.78452	2.95466	
72	450	3.18	3.33	0.060	0.195	97.9011	0.2419	3.01420	2.96730	
73	450	1.75	3.34	0.066	0.197	98.6812	0.2436	3.44764	2.96526	
74	450	4.45	3.33	0.060	0.197	98.8684	0.2441	3.76713	2.97132	
75	450	2.75	3.32	0.060	0.197	99.0377	0.2447	2.46867	3.00448	
76	450	4.03	3.35	0.060	0.197	99.0477	0.2446	2.69290	2.95918	
77	450	4.02	3.31	0.064	0.197	99.0544	0.2454	3.19554	2.88685	
78	450	2.76	3.29	0.060	0.197	99.0226	0.2445	3.42238	2.88069	
79	450	3.57	3.32	0.060	0.197	99.1190	0.2451	3.31612	2.87978	
80	450	4.15	3.33	0.064	0.198	99.2670	0.2452	3.01212	2.92038	
81	450	2.64	3.35	0.060	0.198	99.2309	0.2453	1.90081	2.87024	
82	450	3.27	3.33	0.059	0.198	99.2322	0.2452	1.56808	2.87692	
83	450	2.35	3.38	0.060	0.198	99.2362	0.2454	2.59876	2.87730	
84	450	3.35	3.39	0.054	0.198	99.4386	0.2462	2.43542	2.86172	
85	450	3.88	3.32	0.060	0.197	99.0579	0.2447	3.89202	2.92529	
86	450	2.90	3.28	0.060	0.198	99.2512	0.2455	2.54815	2.86894	
87	450	2.87	3.30	0.060	0.198	99.4989	0.2465	3.05324	2.87317	
72	248	6.69	5.40	0.032	0.266	73.8258	0.3577	5.23309	6.29895	
73	248	5.13	4.97	0.040	0.237	65.7985	0.3224	5.72421	5.17503	
74	248	6.23	4.65	0.032	0.238	65.9767	0.3243	5.10180	4.79389	
75	248	3.37	4.54	0.030	0.235	65.2936	0.3217	5.41272	4.55994	
76	248	3.35	4.37	0.034	0.238	66.2123	0.3267	3.99005	4.41506	
77	248	4.26	4.36	0.037	0.235	65.2526	0.3212	3.95466	4.33050	
78	248	4.29	4.30	0.032	0.233	64.7804	0.3185	4.12603	4.19309	
79	248	3.51	4.14	0.030	0.236	65.4085	0.3224	3.80701	4.11598	
80	248	3.35	4.07	0.032	0.235	65.2552	0.3214	4.55724	3.99464	
81	248	3.98	3.94	0.028	0.235	65.3071	0.3217	4.93021	3.99237	
82	248	4.17	3.99	0.032	0.235	65.2330	0.3213	3.47324	3.95380	
83	248	3.76	4.01	0.033	0.235	65.2785	0.3207	2.43258	3.96374	
84	248	3.70	3.95	0.030	0.236	65.5297	0.3216	4.26684	3.91031	
85	248	3.66	3.92	0.038	0.237	65.7562	0.3231	4.41301	3.84542	
86	248	3.87	3.90	0.036	0.235	65.2761	0.3209	2.97206	3.86380	
87	248	2.81	3.99	0.035	0.235	65.3615	0.3220	3.19214	3.79846	
88	248	3.33	3.92	0.040	0.235	65.3194	0.3211	5.41944	3.80461	
89	248	3.86	3.92	0.032	0.236	65.5338	0.3216	3.67934	3.79011	
90	248	5.40	3.97	0.030	0.237	65.7402	0.3231	3.33750	3.76522	
91	248	4.76	3.87	0.030	0.237	65.7452	0.3232	2.54726	3.76144	
92	248	2.73	3.86	0.032	0.236	65.5718	0.3229	4.83152	3.72377	
93	248	4.24	3.86	0.036	0.235	65.3208	0.3218	4.27691	3.77931	
94	248	4.93	4.00	0.040	0.235	65.2041	0.3208	5.29503	3.73442	
95	248	3.14	3.86	0.032	0.237	65.7653	0.3232	5.27086	3.70530	
96	248	4.00	3.88	0.029	0.237	65.9177	0.3241	3.31813	3.73054	
97	248	3.78	3.84	0.030	0.237	65.9204	0.3241	4.72089	3.67299	
98	248	4.27	3.86	0.030	0.236	65.4036	0.3219	2.95107	3.70307	
99	248	3.46	3.80	0.030	0.235	65.4005	0.3209	3.54441	3.61470	
100	248	4.97	3.84	0.034	0.236	65.5031	0.3222	2.64905	3.60516	
101	248	4.24	3.93	0.031	0.236	65.5631	0.3219	3.57798	3.62351	
102	248	4.39	3.76	0.033	0.237	65.7882	0.3228	1.85921	3.52791	
103	248	2.80	3.95	0.030	0.236	65.6124	0.3230	3.33335	3.59512	
104	248	3.84	3.85	0.036	0.241	66.9364	0.3313	3.22370	3.60124	
105	248	2.07	3.81	0.032	0.237	65.7468	0.3227	4.12268	3.56645	
106	248	5.37	3.78	0.030	0.237	65.9096	0.3237	4.01618	3.54808	
107	248	2.11	3.86	0.043	0.238	66.1301	0.3249	3.26025	3.54568	
108	248	3.69	3.91	0.036	0.237	65.7407	0.3232	4.80733	3.48975	
109	248	2.13	3.71	0.040	0.238	65.9483	0.3246	3.30024	3.52373	
110	248	2.69	3.94	0.032	0.236	65.4807	0.3222	3.22707	3.53233	
111	248	4.54	3.90	0.030	0.236	65.5461	0.3220	3.13397	3.53820	
112	248	3.21	3.86	0.043	0.238	66.1539	0.3257	2.65658	3.50799	
113	248	3.29	3.84	0.032	0.237	65.9350	0.3239	2.90604	3.47150	
114	248	4.28	3.75	0.034	0.238	65.9253	0.3241	2.59681	3.51927	
115	248	6.44	3.91	0.042	0.236	65.5495	0.3215	3.77774	3.49577	
116	248	3.83	3.79	0.040	0.237	65.9191	0.3240	3.98416	3.46309	
117	248	3.86	3.77	0.030	0.237	65.8892	0.3235	3.46843	3.46051	
118	248	5.33	3.75	0.032	0.236	65.5419	0.3213	2.90714	3.45053	
119	248	3.94	3.91	0.030	0.237	65.7070	0.3223	3.10408	3.44614	
120	248	6.15	3.84	0.036	0.237	65.7420	0.3227	3.36097	3.45074	
121	248	3.34	3.72	0.034	0.235	65.3601	0.3204	4.22051	3.40234	
122	248	4.34	3.85	0.030	0.236	65.4847	0.3212	2.57322	3.37255	
123	248	3.30	3.87	0.030	0.236	65.5544	0.3215	2.96125	3.38318	
124	248	3.23	3.83	0.032	0.236	65.5554	0.3214	3.39401	3.35278	
125	248	3.81	3.70	0.036	0.237	65.7065	0.3216	2.40621	3.39597	
126	248	5.05	3.79	0.041	0.241	67.0360	0.3307	2.16830	3.37047	
127	248	3.50	3.79	0.034	0.244	67.6433	0.3334	3.66001	3.34551	
128	248	3.10	3.81	0.030	0.240	66.7352	0.3282	4.92096	3.37422	
129	248	4.78	3.73	0.032	0.237	65.7617	0.3233	3.73587	3.32781	
130	248	3.32	3.78	0.030	0.236	65.5823	0.3221	3.96257	3.35505	
131	248	2.60	3.85	0.034	0.237	65.6562	0.3223	3.54690	3.34754	
132	248	4.32	3.84	0.039	0.238	65.9344	0.3243	2.99131	3.31349	
133	248	2.89	3.72	0.042	0.237	65.7776	0.3233	3.64468	3.33929	
134	248	3.84	3.81	0.032	0.236	65.5092	0.3219	3.10704	3.32677	
135	248	3.14	3.80	0.030	0.236	65.5348	0.3215	4.40656	3.30334	
136	248	3.64	3.70	0.030	0.237	65.7223	0.3231	3.35374	3.26098	
137	248	2.94	3.76	0.038	0.247	68.6000	0.3400	2.25355	3.33222	
138	248	4.03	3.73	0.033	0.239	66.2932	0.3259	2.81790	3.34542	
139	248	4.14	3.74	0.033	0.256	71.1255	0.3474	4.23042	3.27120	
140	248	5.04	3.77	0.033	0.247	68.5014	0.3402	2.86255	3.30695	
141	248	2.46	3.68	0.036	0.244	67.6462	0.3331	3.35010	3.26012	
142	248	4.33	3.79	0.037	0.244	67.7084	0.3345	5.59437	3.23888	
143	248	1.86	3.70	0.034	0.243	67.4688	0.3329	8.17146	3.31469	
144	248	4.33	3.75	0.034	0.248	69.0101	0.3388	4.31071	3.23383	
145	248	5.12	3.70	0.033	0.245	68.1311	0.3360	2.61045	3.24658	
146	248	2.97	3.74	0.034	0.237	65.8928	0.3244	3.04737	3.21083	
