Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	193	6.79	6.50	0.041	0.320	88.8801	0.4420	7.24860	7.68044	
1	193	7.23	5.55	0.040	0.283	78.5972	0.4064	4.85605	6.27380	
2	193	5.25	5.25	0.039	0.286	79.5291	0.4120	6.63516	5.70315	
3	193	5.24	5.19	0.032	0.279	77.5953	0.4020	5.42345	5.48679	
4	193	5.44	5.12	0.041	0.281	78.2219	0.4060	5.88486	5.34114	
5	193	4.86	5.00	0.041	0.278	77.1969	0.4005	5.79860	5.24267	
6	193	4.24	5.00	0.031	0.276	76.7301	0.3984	5.77715	5.17976	
7	193	4.79	5.01	0.032	0.277	76.8439	0.3984	4.41308	5.13218	
8	193	5.46	4.89	0.038	0.275	76.5419	0.3966	5.28331	5.10558	
9	193	4.99	4.83	0.040	0.275	76.4820	0.3964	5.07235	5.05397	
10	193	4.83	4.76	0.037	0.276	76.8117	0.3982	4.21945	5.04014	
11	193	6.60	4.74	0.034	0.276	76.6148	0.3973	4.49653	5.01367	
12	193	4.56	4.78	0.035	0.275	76.5051	0.3962	4.19832	5.01837	
13	193	6.10	4.82	0.030	0.274	76.2812	0.3948	5.41072	4.98871	
14	193	3.74	4.71	0.042	0.276	76.5922	0.3969	6.60146	4.96730	
15	193	4.38	4.61	0.041	0.279	77.3819	0.4014	6.08183	4.92524	
16	193	4.84	4.64	0.030	0.282	78.3700	0.4066	5.00541	4.96468	
17	193	3.90	4.62	0.041	0.275	76.4970	0.3960	4.84556	4.87867	
18	193	3.76	4.60	0.030	0.275	76.5329	0.3964	5.19342	4.88405	
19	193	7.29	4.57	0.036	0.276	76.7111	0.3973	4.48042	4.85302	
20	193	4.90	4.50	0.040	0.276	76.6947	0.3967	3.30976	4.90890	
21	193	4.73	4.55	0.031	0.276	76.7262	0.3980	4.80033	4.89584	
22	193	4.51	4.55	0.046	0.274	76.2108	0.3944	4.61213	4.87006	
23	193	5.00	4.51	0.039	0.276	76.5589	0.3970	4.54897	4.83759	
24	193	4.76	4.51	0.033	0.275	76.4768	0.3961	4.85149	4.85505	
25	193	4.24	4.42	0.039	0.275	76.4647	0.3958	4.70825	4.83494	
26	193	5.42	4.50	0.033	0.275	76.5419	0.3960	4.07586	4.84302	
27	193	5.40	4.57	0.038	0.275	76.3277	0.3956	5.50860	4.82070	
28	193	3.98	4.53	0.043	0.276	76.5959	0.3967	5.19252	4.79908	
29	193	4.52	4.47	0.030	0.276	76.5888	0.3972	4.88793	4.83874	
30	193	3.04	4.36	0.041	0.275	76.3924	0.3954	4.31338	4.85573	
