Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	86	3.86	3.83	0.051	0.835	103.3318	1.2883	3.86821	4.86777	
1	86	2.94	3.87	0.051	0.458	56.8894	0.7409	4.53413	4.82147	
2	86	3.66	3.82	0.051	0.456	56.6492	0.7358	3.70665	4.89863	
3	86	3.40	3.83	0.050	0.493	61.2274	0.8102	4.20490	4.82735	
4	86	5.32	3.84	0.051	0.540	67.0171	0.8749	4.08017	4.85137	
5	86	3.20	3.83	0.067	0.485	60.4216	0.7859	4.46111	4.81358	
6	86	3.54	3.72	0.055	0.483	59.9381	0.7856	5.18809	4.82110	
7	86	3.27	3.99	0.058	0.479	59.4536	0.7706	4.66075	4.75241	
8	86	2.35	3.73	0.052	0.470	58.3842	0.7614	4.75942	4.79229	
9	86	3.99	3.78	0.051	0.479	59.4861	0.7681	6.21330	4.83918	
10	86	5.67	3.84	0.050	0.470	58.4033	0.7536	3.87946	4.74089	
11	86	3.67	3.91	0.060	0.492	61.0822	0.7966	5.00840	4.81249	
12	86	2.83	3.74	0.051	0.487	60.5424	0.7943	4.76292	4.80483	
13	86	3.68	3.80	0.059	0.500	62.0698	0.8096	5.53636	4.75384	
14	86	3.50	3.81	0.051	0.511	63.4553	0.8429	4.65118	4.71824	
15	86	2.68	3.80	0.066	0.497	61.6611	0.7970	4.37550	4.85143	
16	86	2.99	3.72	0.060	0.483	60.0609	0.7728	6.45408	4.83330	
17	86	3.32	3.79	0.064	0.538	66.8600	0.8509	5.78313	4.74328	
18	86	3.88	3.82	0.051	0.483	60.0574	0.7840	4.33682	4.74179	
19	86	4.28	3.90	0.052	0.514	63.7905	0.8183	4.55413	4.71835	
20	86	2.65	3.81	0.064	0.552	68.7027	0.8804	4.67923	4.75164	
21	86	3.99	3.83	0.073	0.515	63.9829	0.8305	6.30807	4.71527	
22	86	3.28	3.80	0.051	0.469	58.2901	0.7611	4.91544	4.78192	
23	86	3.05	3.79	0.050	0.455	56.5671	0.7357	4.00217	4.74738	
24	86	3.47	3.78	0.051	0.493	61.1208	0.7867	4.65924	4.79839	
25	86	3.60	3.85	0.051	0.503	62.4077	0.8049	5.58245	4.72635	
26	86	3.12	3.78	0.052	0.458	56.8391	0.7426	5.32871	4.75086	
27	86	4.00	3.76	0.052	0.455	56.5857	0.7342	4.81794	4.68612	
28	86	3.60	3.73	0.050	0.460	57.1294	0.7430	4.66126	4.80505	
29	86	4.32	3.83	0.051	0.452	56.0935	0.7289	5.33168	4.69174	
30	86	4.63	3.97	0.051	0.453	56.2619	0.7317	5.92592	4.75732	
31	86	2.47	3.77	0.051	0.449	55.8407	0.7258	4.29271	4.75337	
32	86	3.14	3.77	0.050	0.450	55.9142	0.7271	5.65818	4.70882	
33	86	2.68	3.82	0.051	0.454	56.3867	0.7327	3.86893	4.66404	
34	86	3.89	3.74	0.052	0.453	56.3397	0.7322	5.88808	4.68758	
35	86	4.75	3.90	0.050	0.456	56.6253	0.7368	4.54148	4.78634	
36	86	4.70	3.78	0.052	0.469	58.2762	0.7643	5.90535	4.67175	
37	86	3.33	3.82	0.050	0.465	57.7655	0.7557	6.11668	4.76184	
38	86	2.97	3.83	0.051	0.460	57.0828	0.7433	3.58327	4.63728	
39	86	3.42	3.82	0.063	0.453	56.3289	0.7311	4.39051	4.65798	
40	86	3.37	3.85	0.050	0.457	56.6962	0.7381	4.84711	4.73100	
41	86	3.56	3.76	0.051	0.451	55.9791	0.7284	4.20936	4.72201	
42	86	2.31	3.67	0.051	0.448	55.6848	0.7236	6.87029	4.70325	
43	86	3.64	3.80	0.050	0.468	58.0917	0.7603	4.88503	4.75695	
44	86	2.67	3.79	0.050	0.452	56.1732	0.7301	4.46054	4.72557	
45	86	4.72	3.93	0.050	0.451	56.0664	0.7294	4.80164	4.66119	
46	86	3.72	3.75	0.051	0.447	55.5754	0.7220	4.31078	4.61787	
47	86	3.96	3.82	0.050	0.449	55.7358	0.7247	6.19735	4.69984	
48	86	4.65	3.88	0.051	0.449	55.8005	0.7254	4.56907	4.71510	
49	86	3.18	3.85	0.051	0.450	55.8870	0.7262	4.41077	4.70457	
50	86	4.21	3.74	0.051	0.457	56.8074	0.7384	4.19002	4.66548	
51	86	4.36	3.82	0.051	0.450	55.8491	0.7232	4.93074	4.72668	
52	86	3.90	3.78	0.051	0.450	55.8437	0.7259	3.65110	4.81895	
53	86	3.44	3.79	0.052	0.449	55.7321	0.7231	4.96347	4.72740	
54	86	4.08	3.84	0.051	0.449	55.7278	0.7237	4.24804	4.61596	
55	86	3.66	3.96	0.051	0.448	55.6786	0.7231	4.82285	4.71098	
56	86	3.81	3.78	0.050	0.452	56.1561	0.7266	6.03502	4.70845	
57	86	2.66	3.74	0.052	0.457	56.7297	0.7385	3.89115	4.68213	
58	86	2.90	3.80	0.051	0.459	57.0009	0.7420	5.28404	4.62651	
59	86	3.63	3.77	0.051	0.451	56.0598	0.7286	4.30361	4.71342	
60	86	4.88	3.88	0.142	0.736	91.0407	0.9728	5.16937	4.70085	
61	86	2.89	3.91	0.140	0.924	114.1803	1.1508	3.81931	4.59640	
62	86	4.54	3.86	0.140	1.065	131.5156	1.2682	5.19208	4.67220	
63	86	3.68	3.87	0.135	0.755	93.3706	0.9453	4.39366	4.71659	
64	86	3.61	3.84	0.138	0.755	93.3132	0.9444	3.93828	4.64843	
65	86	2.03	3.92	0.132	0.759	93.8463	0.9525	4.41387	4.64838	
66	86	4.33	3.88	0.132	0.753	93.1061	0.9409	7.45117	4.82487	
67	86	4.61	3.78	0.136	0.755	93.3106	0.9435	6.91865	4.68629	
68	86	3.76	3.82	0.134	0.753	93.0749	0.9417	4.67130	4.58987	
69	86	3.88	3.81	0.135	0.749	92.5954	0.9340	4.82502	4.64367	
70	86	5.10	3.80	0.137	0.759	93.8278	0.9532	4.40603	4.71353	
71	86	5.42	3.86	0.132	0.755	93.3568	0.9457	3.36205	4.76302	
72	86	4.45	3.88	0.139	0.749	92.5458	0.9331	4.35559	4.71979	
73	86	3.25	3.80	0.139	0.768	94.8913	0.9662	4.76489	4.75546	
74	86	2.25	3.78	0.131	0.733	90.6198	0.9007	4.08385	4.75823	
