Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	193	5.77	6.02	0.036	0.351	97.3643	0.4940	5.67988	7.84184	
1	193	5.74	5.40	0.037	0.279	77.6492	0.4050	7.10085	6.30059	
2	193	5.23	5.29	0.038	0.281	78.2017	0.4076	5.84338	5.73061	
3	193	5.01	5.11	0.037	0.278	77.1229	0.4014	4.99792	5.50232	
4	193	4.98	5.01	0.036	0.280	77.9096	0.4056	4.72498	5.33164	
5	193	4.73	4.97	0.037	0.276	76.7908	0.3987	4.09771	5.24341	
6	193	5.09	4.86	0.044	0.342	95.0204	0.5007	7.03209	5.23433	
7	193	2.84	4.81	0.037	0.280	77.8290	0.4057	5.64241	5.15008	
8	193	4.26	4.91	0.037	0.280	77.8015	0.4045	4.91859	5.18049	
9	193	4.89	4.76	0.037	0.280	77.7559	0.4032	4.26416	5.05240	
10	193	4.56	4.82	0.039	0.283	78.5653	0.4080	4.57121	5.04811	
11	193	5.66	4.70	0.036	0.281	78.1410	0.4056	4.38307	5.05156	
12	193	4.88	4.71	0.037	0.282	78.5024	0.4078	5.50492	4.98725	
13	193	4.48	4.71	0.037	0.280	77.9347	0.4036	3.90445	4.95881	
14	193	4.58	4.62	0.037	0.280	77.8463	0.4040	4.44732	4.91040	
15	193	3.39	4.67	0.031	0.281	78.1339	0.4064	4.49655	4.91999	
16	193	4.93	4.70	0.047	0.282	78.3886	0.4064	5.66952	4.92473	
17	193	5.36	4.67	0.032	0.279	77.6159	0.4026	6.13081	4.88628	
18	193	6.61	4.69	0.032	0.279	77.4152	0.4011	5.35322	4.85502	
19	193	3.96	4.61	0.044	0.278	77.3426	0.4009	3.16446	4.88946	
20	193	4.52	4.56	0.037	0.279	77.6142	0.4034	4.75221	4.89435	
21	193	5.30	4.72	0.040	0.289	80.3842	0.4223	5.40438	4.88269	
22	193	4.53	4.57	0.037	0.282	78.3160	0.4059	3.42658	4.87941	
23	193	5.85	4.80	0.037	0.281	77.9632	0.4039	9.03774	4.91045	
24	193	5.24	4.59	0.037	0.281	78.0117	0.4040	4.18866	4.90476	
25	193	4.93	4.62	0.038	0.279	77.5633	0.4018	5.64769	4.81239	
26	193	4.98	4.53	0.038	0.281	78.1736	0.4067	4.14805	4.85753	
27	193	3.99	4.58	0.037	0.279	77.5776	0.4033	5.07102	4.85992	
28	193	4.09	4.55	0.038	0.279	77.4402	0.4015	4.70780	4.87924	
29	193	4.39	4.53	0.041	0.281	78.1704	0.4053	3.95642	4.85094	
30	193	5.23	4.46	0.040	0.296	82.4061	0.4248	3.94890	4.86490	
31	193	6.28	4.58	0.037	0.277	76.9853	0.4002	4.44848	4.88433	
32	193	4.22	4.41	0.037	0.279	77.5025	0.4030	5.55316	4.85761	
33	193	3.70	4.56	0.037	0.279	77.5659	0.4029	3.54180	4.84722	
34	193	2.49	4.59	0.037	0.278	77.3282	0.4018	6.46962	4.85769	
35	193	4.03	4.46	0.037	0.278	77.4094	0.4020	3.82093	4.85185	
36	193	5.39	4.47	0.038	0.283	78.7096	0.4095	5.18184	4.80825	
37	193	4.27	4.42	0.037	0.280	77.9485	0.4049	4.68534	4.87863	
38	193	4.24	4.41	0.038	0.278	77.3570	0.4019	4.54477	4.83192	
39	193	4.60	4.53	0.037	0.290	80.6375	0.4246	4.13894	4.81787	
40	193	5.10	4.38	0.037	0.278	77.3241	0.4018	4.77196	4.87063	
41	193	3.73	4.37	0.040	0.278	77.4011	0.4021	5.15870	4.84950	
42	193	3.44	4.40	0.037	0.280	77.7496	0.4038	4.68028	4.86266	
43	193	3.77	4.38	0.037	0.277	77.0934	0.4002	5.22084	4.84071	
44	193	4.80	4.39	0.038	0.277	77.1262	0.4001	4.79370	4.83880	
45	193	6.53	4.36	0.037	0.280	77.7830	0.4047	5.14118	4.83486	
46	193	3.39	4.36	0.037	0.281	78.2277	0.4086	11.17509	4.89533	
47	193	4.87	4.39	0.038	0.282	78.2991	0.4077	4.90206	4.92529	
48	193	5.56	4.32	0.036	0.280	77.9024	0.4053	4.84857	4.92408	
49	193	5.36	4.28	0.037	0.311	86.3710	0.4437	5.53113	4.96737	
50	193	4.38	4.38	0.031	0.288	80.1105	0.4138	3.95528	4.95664	
51	193	4.51	4.60	0.047	0.285	79.1881	0.4124	4.78417	4.91006	
52	193	3.32	4.33	0.031	0.284	78.9597	0.4112	3.30797	4.95094	
53	193	3.48	4.41	0.031	0.280	77.8549	0.4041	9.21114	4.96446	
54	193	3.82	4.25	0.031	0.283	78.5712	0.4075	6.55538	4.92718	
55	193	6.49	4.37	0.055	0.280	77.8006	0.4046	5.24586	4.96343	
56	193	6.42	4.30	0.031	0.282	78.3557	0.4064	4.39170	4.89067	
57	193	5.14	4.33	0.032	0.279	77.5311	0.4018	6.60546	4.96020	
58	193	3.39	4.31	0.032	0.285	79.1769	0.4129	4.89742	4.95721	
59	193	4.02	4.27	0.033	0.283	78.5380	0.4081	5.74133	5.02906	
60	193	3.53	4.33	0.031	0.280	77.8224	0.4040	7.50101	4.95555	
61	193	4.14	4.31	0.031	0.280	77.7604	0.4038	5.35500	4.98492	
62	193	3.85	4.33	0.031	0.280	77.7016	0.4034	6.95028	4.95658	
63	193	3.43	4.34	0.031	0.284	78.9872	0.4098	5.07830	5.05511	
64	193	3.92	4.25	0.032	0.282	78.4332	0.4069	4.53929	5.02503	
65	193	3.26	4.34	0.030	0.281	78.1925	0.4064	6.21171	5.04467	
66	193	2.55	4.29	0.031	0.279	77.4872	0.4018	5.14308	5.01537	
67	193	3.96	4.34	0.047	0.282	78.4195	0.4071	4.27697	4.98226	
68	193	3.43	4.25	0.047	0.283	78.7934	0.4100	6.27323	5.01043	
69	193	3.31	4.28	0.031	0.281	78.0370	0.4050	4.98166	5.03227	
70	193	3.57	4.39	0.031	0.280	77.7487	0.4034	4.82154	5.06942	
71	193	4.85	4.48	0.031	0.282	78.4638	0.4060	7.06113	5.02407	
72	193	3.91	4.31	0.031	0.289	80.3573	0.4215	6.31464	5.04925	
73	193	3.86	4.23	0.031	0.283	78.6729	0.4083	5.12007	5.06429	
74	193	4.14	4.27	0.031	0.284	78.8733	0.4115	5.78276	5.03826	
75	193	7.04	4.39	0.044	0.281	78.2013	0.4063	4.51435	5.02624	
76	193	3.75	4.45	0.047	0.282	78.3252	0.4059	5.74655	5.12970	
77	193	3.50	4.22	0.042	0.280	77.7556	0.4034	6.64358	5.04984	
78	193	4.51	4.22	0.037	0.302	83.9631	0.4395	4.40103	5.10517	
79	193	3.46	4.30	0.057	0.310	86.2524	0.4445	4.48645	5.11936	
