Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	193	7.56	5.75	0.035	0.320	88.7568	0.4428	8.80101	7.18290	
1	193	4.95	5.26	0.035	0.282	78.2933	0.4077	5.56620	5.67428	
2	193	4.56	5.01	0.031	0.287	79.7247	0.4136	6.38417	5.36697	
3	193	4.47	4.94	0.039	0.330	91.7322	0.4615	4.44168	5.14255	
4	193	7.21	4.88	0.036	0.288	80.0783	0.4140	4.19243	5.09383	
5	193	3.86	4.73	0.095	0.295	82.0113	0.4265	4.14126	4.97818	
6	193	4.86	4.72	0.037	0.287	79.9041	0.4132	4.35733	4.92981	
7	193	4.63	4.69	0.043	0.288	80.1455	0.4144	4.90964	4.83307	
8	193	4.80	4.70	0.044	0.285	79.4080	0.4095	3.98979	4.80952	
9	193	4.46	4.63	0.035	0.287	79.8593	0.4127	6.13498	4.79543	
10	193	3.68	4.62	0.039	0.286	79.5886	0.4115	4.71542	4.72190	
11	193	4.28	4.52	0.046	0.440	122.1249	0.5709	3.94355	4.76607	
12	193	4.52	4.65	0.037	0.287	79.6406	0.4106	7.90005	4.69364	
13	193	3.40	4.56	0.037	0.285	79.2079	0.4079	3.72675	4.66655	
14	193	4.02	4.50	0.039	0.288	79.9319	0.4116	7.10888	4.69117	
15	193	5.06	4.42	0.038	0.289	80.3853	0.4142	4.28273	4.58859	
16	193	6.51	4.53	0.037	0.292	81.1264	0.4229	6.61512	4.60497	
17	193	4.01	4.47	0.037	0.285	79.2538	0.4097	6.18574	4.57089	
18	193	4.68	4.47	0.037	0.287	79.8140	0.4112	4.36929	4.54565	
19	193	3.71	4.48	0.037	0.284	78.9320	0.4083	4.20909	4.58350	
20	193	5.14	4.42	0.037	0.285	79.1639	0.4084	3.94775	4.56223	
21	193	3.61	4.36	0.038	0.284	79.0527	0.4074	5.49880	4.57806	
22	193	4.56	4.38	0.037	0.279	77.6836	0.4036	4.61971	4.54239	
23	193	4.45	4.37	0.038	0.279	77.6458	0.4028	4.72062	4.48118	
24	193	4.31	4.33	0.038	0.278	77.3193	0.4009	3.26222	4.50269	
25	193	5.56	4.34	0.037	0.279	77.5301	0.4022	7.43282	4.55065	
26	193	5.64	4.39	0.037	0.283	78.6980	0.4087	5.30067	4.49284	
27	193	3.75	4.35	0.036	0.281	78.0399	0.4049	5.54811	4.52711	
28	193	4.00	4.33	0.038	0.280	77.8129	0.4031	4.89542	4.46545	
29	193	4.22	4.23	0.038	0.279	77.5179	0.4019	4.13592	4.48819	
30	193	3.68	4.27	0.038	0.289	80.3886	0.4198	4.74383	4.47698	
31	193	3.61	4.20	0.037	0.288	80.3094	0.4163	6.56436	4.48283	
32	193	4.51	4.34	0.038	0.294	81.7789	0.4301	4.93662	4.42880	
33	193	3.09	4.24	0.038	0.280	77.8224	0.4034	4.95692	4.41812	
34	193	4.45	4.28	0.037	0.283	78.7654	0.4093	4.90701	4.41849	
35	193	4.84	4.36	0.040	0.288	80.1871	0.4163	5.30209	4.40266	
36	193	4.41	4.28	0.031	0.297	82.4580	0.4275	3.99702	4.41264	
37	193	3.89	4.18	0.041	0.286	79.4642	0.4127	5.32449	4.42269	
38	193	6.70	4.19	0.046	0.290	80.5711	0.4243	3.74738	4.41329	
39	193	4.30	4.23	0.041	0.281	78.0907	0.4062	4.13168	4.36649	
40	193	5.28	4.16	0.041	0.281	78.1048	0.4050	4.36480	4.35480	
41	193	3.97	4.22	0.039	0.283	78.8225	0.4097	3.35145	4.40293	
42	193	4.40	4.26	0.037	0.284	78.8537	0.4104	4.22604	4.38618	
43	193	5.73	4.29	0.038	0.283	78.6541	0.4090	3.81577	4.37719	
44	193	4.06	4.28	0.037	0.283	78.5637	0.4084	3.79161	4.35331	
45	193	4.51	4.13	0.037	0.287	79.6862	0.4140	5.58561	4.37481	
46	193	4.13	4.16	0.038	0.283	78.6800	0.4097	4.14394	4.34736	
47	193	5.74	4.13	0.037	0.283	78.7205	0.4093	3.28336	4.33756	
48	193	3.92	4.16	0.038	0.283	78.5351	0.4081	4.42751	4.38853	
49	193	4.04	4.12	0.037	0.283	78.6591	0.4089	3.79310	4.38462	
50	193	2.91	4.15	0.037	0.283	78.6661	0.4096	4.91790	4.40072	
51	193	4.33	4.21	0.038	0.280	77.6898	0.4029	3.89900	4.38894	
52	193	3.26	4.14	0.037	0.283	78.5462	0.4074	3.90809	4.39029	
53	193	5.99	4.08	0.039	0.295	82.0449	0.4228	4.15930	4.33621	
54	193	5.15	4.15	0.041	0.280	77.8547	0.4051	4.65654	4.38777	
55	193	4.71	4.33	0.032	0.282	78.3965	0.4080	5.32937	4.40560	
56	193	3.39	4.13	0.040	0.286	79.5309	0.4154	3.54692	4.40117	
57	193	3.49	4.14	0.030	0.285	79.1268	0.4124	3.53560	4.40363	
58	193	4.20	4.19	0.033	0.290	80.5724	0.4213	5.34960	4.41554	
59	193	3.45	4.14	0.038	0.289	80.4336	0.4205	3.51453	4.34755	
60	193	4.29	4.08	0.040	0.286	79.5451	0.4146	5.80490	4.35440	
61	193	4.23	4.14	0.038	0.279	77.5727	0.4032	5.19360	4.39311	
62	193	3.69	4.21	0.034	0.279	77.5926	0.4024	3.73663	4.44234	
63	193	3.61	4.14	0.031	0.280	77.7988	0.4040	4.62626	4.33862	
64	193	5.06	4.14	0.041	0.281	78.1688	0.4063	3.23579	4.34332	
65	193	3.56	4.02	0.035	0.280	77.8277	0.4040	4.13431	4.41459	
