Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	149	4.64	4.70	0.051	0.447	95.6521	0.6149	5.39143	7.05077	
1	149	4.77	4.26	0.051	0.382	81.8178	0.5511	5.98080	5.47797	
2	149	5.94	4.07	0.057	0.394	84.5388	0.5678	4.53815	5.06951	
3	149	3.00	4.00	0.061	0.401	85.9779	0.5788	4.79720	4.95147	
4	149	4.20	3.95	0.059	0.448	96.1585	0.6258	4.75353	4.89750	
5	149	4.65	4.02	0.063	0.383	82.1513	0.5490	6.14076	4.84754	
6	149	4.05	3.94	0.051	0.395	84.7612	0.5665	3.58235	4.79513	
7	149	5.06	3.96	0.048	0.389	83.4036	0.5608	5.56757	4.79589	
8	149	4.68	3.95	0.058	0.375	80.4587	0.5348	5.13153	4.71145	
9	149	2.36	3.97	0.052	0.381	81.7936	0.5433	5.66277	4.80844	
10	149	3.08	4.00	0.051	0.376	80.6719	0.5353	4.13521	4.77314	
11	149	3.91	3.86	0.050	0.375	80.5087	0.5338	4.42262	4.77693	
12	149	3.18	4.13	0.048	0.383	82.1333	0.5459	4.47805	4.73734	
13	149	4.92	3.85	0.088	0.381	81.6601	0.5421	3.90731	4.67872	
14	149	3.58	4.03	0.064	0.393	84.4560	0.5572	5.44344	4.77606	
15	149	4.36	3.93	0.060	0.383	82.1621	0.5428	3.41428	4.69775	
16	149	4.38	3.96	0.054	0.397	85.0344	0.5559	4.13719	4.71756	
17	149	4.18	3.91	0.049	0.376	80.7263	0.5366	3.31076	4.71340	
18	149	3.80	3.88	0.049	0.381	81.7114	0.5417	4.40030	4.73258	
19	149	3.45	3.83	0.047	0.379	81.2915	0.5384	3.35371	4.63772	
20	149	3.89	3.93	0.051	0.378	81.1467	0.5406	6.23074	4.69256	
21	149	3.06	3.92	0.055	0.377	80.8284	0.5369	4.89156	4.70043	
22	149	3.36	3.90	0.054	0.377	80.8899	0.5366	5.12583	4.70550	
23	149	3.32	3.83	0.086	0.392	83.9149	0.5514	4.25452	4.65582	
24	149	3.83	3.89	0.048	0.435	93.1929	0.5955	5.90621	4.67725	
25	149	3.66	3.93	0.065	0.420	90.1431	0.5848	3.55446	4.67559	
26	149	5.21	3.87	0.052	0.406	87.1323	0.5820	3.95706	4.60687	
27	149	3.75	3.89	0.052	0.473	101.2385	0.6395	5.72500	4.72808	
28	149	3.69	3.87	0.051	0.380	81.4376	0.5400	5.12119	4.69732	
29	149	2.48	3.84	0.051	0.383	82.0329	0.5432	3.54739	4.65235	
30	149	3.70	3.94	0.079	0.401	86.0412	0.5727	4.40562	4.70622	
31	149	4.59	3.74	0.052	0.441	94.5318	0.6178	4.28172	4.63525	
32	149	3.69	3.77	0.052	0.385	82.4603	0.5489	4.13490	4.63412	
33	149	2.48	3.81	0.052	0.401	85.9892	0.5761	3.79574	4.64300	
34	149	2.80	3.85	0.052	0.382	81.8804	0.5450	4.30770	4.68081	
35	149	3.01	3.72	0.053	0.387	83.1094	0.5549	4.63998	4.68845	
36	149	4.76	3.82	0.051	0.379	81.3241	0.5422	4.27210	4.55719	
37	149	3.27	3.89	0.052	0.389	83.4344	0.5511	3.94745	4.65414	
38	149	3.94	3.81	0.050	0.387	82.9643	0.5502	4.76370	4.65850	
39	149	3.56	3.85	0.051	0.381	81.6803	0.5445	5.40198	4.66755	
40	149	4.29	3.98	0.051	0.381	81.6764	0.5425	3.17343	4.67256	
41	149	4.78	3.90	0.051	0.381	81.7877	0.5449	4.31380	4.61573	
42	149	4.89	3.82	0.052	0.384	82.3099	0.5471	7.28363	4.67826	
43	149	3.27	3.91	0.052	0.379	81.2486	0.5402	4.84154	4.71076	
44	149	2.87	3.78	0.052	0.386	82.7319	0.5483	5.44602	4.65930	
45	149	1.72	3.84	0.056	0.419	89.8767	0.5897	4.94507	4.64383	
46	149	5.75	3.78	0.051	0.416	89.2300	0.5884	4.62512	4.68091	
47	149	2.55	3.86	0.052	0.410	88.0007	0.5814	4.95453	4.63948	
48	149	4.36	3.78	0.091	0.412	88.3245	0.5834	4.88031	4.62502	
49	149	3.56	4.02	0.052	0.417	89.3614	0.5906	3.92969	4.61049	
50	149	4.51	3.89	0.056	0.408	87.4647	0.5770	3.89208	4.67177	
51	149	2.35	3.77	0.056	0.424	91.0322	0.6000	5.78456	4.60889	
52	149	3.62	3.77	0.057	0.417	89.4235	0.5903	4.09861	4.67102	
53	149	3.22	3.83	0.056	0.406	87.0868	0.5745	3.81723	4.64598	
54	149	3.29	3.79	0.056	0.417	89.4581	0.5900	3.83400	4.64656	
