Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	86	6.21	4.00	0.050	0.563	69.8521	0.8499	5.70810	4.92465	
1	86	5.02	3.92	0.051	0.456	56.6417	0.7358	4.81858	4.82220	
2	86	5.15	4.18	0.051	0.453	56.2898	0.7292	5.40625	4.89576	
3	86	3.74	4.04	0.052	0.454	56.3129	0.7304	4.11570	4.82997	
4	86	4.67	4.10	0.051	0.455	56.5171	0.7325	7.06124	4.83453	
5	86	4.78	4.11	0.056	0.454	56.3847	0.7305	4.16414	4.73904	
6	86	4.24	3.86	0.054	0.457	56.7734	0.7358	4.39876	4.78095	
7	86	4.34	4.10	0.056	0.461	57.2214	0.7371	4.80011	4.77640	
8	86	3.32	3.94	0.051	0.461	57.2120	0.7349	5.00520	4.77483	
9	86	3.41	3.89	0.046	0.459	57.0476	0.7342	4.06330	4.70032	
10	86	3.67	4.00	0.055	0.463	57.4934	0.7400	5.44104	4.74139	
11	86	4.49	4.21	0.052	0.464	57.5711	0.7418	5.74456	4.77836	
12	86	3.42	3.93	0.051	0.459	56.9480	0.7320	4.95110	4.81409	
13	86	4.18	3.83	0.051	0.460	57.0881	0.7321	5.15635	4.67890	
14	86	3.91	3.92	0.051	0.462	57.3429	0.7390	4.17289	4.69551	
15	86	4.32	3.82	0.051	0.459	56.9990	0.7344	3.55016	4.67491	
16	86	2.82	3.85	0.050	0.464	57.5932	0.7428	3.83580	4.69592	
17	86	5.17	3.90	0.051	0.457	56.8130	0.7314	5.84124	4.79130	
18	86	2.93	3.94	0.050	0.465	57.6898	0.7429	4.34180	4.69880	
19	86	4.70	3.88	0.047	0.461	57.2783	0.7371	6.73822	4.69630	
20	86	3.47	3.89	0.050	0.466	57.8245	0.7451	5.29482	4.71654	
21	86	3.15	4.15	0.048	0.462	57.3098	0.7383	4.62902	4.62722	
22	86	3.98	3.98	0.050	0.458	56.8109	0.7301	4.88350	4.68553	
23	86	5.36	3.95	0.051	0.455	56.5357	0.7281	4.35450	4.75847	
24	86	4.95	4.03	0.050	0.456	56.6089	0.7281	5.12126	4.79931	
25	86	3.15	4.01	0.048	0.457	56.7311	0.7296	4.32423	4.70754	
26	86	4.81	3.95	0.051	0.463	57.4784	0.7384	4.06076	4.69372	
27	86	3.10	3.90	0.051	0.462	57.4061	0.7410	4.03025	4.64182	
28	86	3.33	3.93	0.054	0.462	57.3483	0.7379	4.01104	4.65446	
29	86	3.54	3.97	0.048	0.457	56.7987	0.7301	5.03159	4.69136	
30	86	4.09	3.98	0.053	0.457	56.7851	0.7289	4.50150	4.68909	
31	86	2.92	3.91	0.051	0.456	56.6871	0.7285	4.75303	4.69593	
32	86	3.73	3.84	0.061	0.459	56.9720	0.7325	5.15408	4.73895	
33	86	3.23	4.00	0.051	0.464	57.6859	0.7415	4.90699	4.59990	
34	86	3.83	3.99	0.051	0.462	57.3701	0.7364	4.25761	4.66727	
35	86	4.52	4.01	0.054	0.462	57.2976	0.7350	5.19569	4.61095	
36	86	4.41	4.03	0.056	0.460	57.1576	0.7353	5.12769	4.55178	
37	86	4.70	3.95	0.051	0.458	56.8407	0.7311	4.71616	4.66670	
38	86	3.23	3.96	0.050	0.461	57.2857	0.7353	3.75269	4.65368	
39	86	3.95	3.87	0.061	0.463	57.5412	0.7409	4.51687	4.60332	
40	86	6.98	4.05	0.061	0.462	57.3540	0.7389	5.17531	4.61848	
41	86	4.04	3.91	0.056	0.463	57.5389	0.7410	5.25938	4.66654	
42	86	4.17	4.17	0.053	0.456	56.6547	0.7304	4.65770	4.62067	
43	86	3.38	4.01	0.051	0.459	57.0018	0.7332	5.82068	4.64762	
44	86	4.21	3.83	0.051	0.459	57.0306	0.7325	4.26610	4.59576	
45	86	5.69	3.90	0.080	0.457	56.7599	0.7290	5.81299	4.63966	
46	86	3.27	4.07	0.051	0.463	57.4775	0.7396	5.39273	4.65243	
47	86	4.26	3.97	0.047	0.464	57.6494	0.7401	4.26094	4.59192	
48	86	4.04	3.86	0.051	0.458	56.8351	0.7318	4.68725	4.69986	
49	86	4.08	4.13	0.047	0.463	57.4783	0.7388	4.63702	4.67078	
50	86	4.57	3.87	0.051	0.458	56.8402	0.7316	5.65529	4.65984	
51	86	3.55	3.94	0.054	0.460	57.1542	0.7341	4.49532	4.69910	
52	86	5.40	3.94	0.056	0.461	57.2416	0.7358	6.04192	4.68953	
53	86	2.19	3.93	0.048	0.462	57.4446	0.7416	5.05589	4.70134	
54	86	4.62	3.90	0.082	0.462	57.3530	0.7397	4.20666	4.58679	
55	86	3.21	4.02	0.056	0.459	56.9162	0.7320	4.71346	4.60947	
56	86	5.19	4.08	0.051	0.458	56.9595	0.7324	5.06032	4.62711	
57	86	4.55	3.95	0.096	0.460	57.1700	0.7357	4.78059	4.63026	
58	86	3.59	3.88	0.056	0.462	57.3926	0.7381	4.56367	4.70583	
59	86	4.49	3.89	0.055	0.462	57.2925	0.7352	5.45776	4.69275	
60	86	3.38	3.93	0.051	0.470	58.3658	0.7537	4.42865	4.62724	
61	86	4.40	4.07	0.055	0.464	57.5936	0.7398	3.76679	4.67731	
62	86	2.80	4.02	0.051	0.456	56.5807	0.7285	4.13255	4.68316	
63	86	4.62	3.95	0.051	0.455	56.4459	0.7263	5.67976	4.68941	
64	86	2.68	3.95	0.051	0.458	56.9399	0.7321	3.84733	4.71190	
65	86	3.04	3.99	0.056	0.468	58.1040	0.7517	4.84324	4.64009	
66	86	4.51	3.90	0.052	0.478	59.2875	0.7705	5.05574	4.62989	
67	86	4.05	4.08	0.052	0.461	57.2164	0.7363	6.10482	4.67668	
68	86	4.47	3.98	0.056	0.459	56.9512	0.7317	6.20547	4.67242	
69	86	3.79	4.04	0.050	0.463	57.5678	0.7404	4.21245	4.66416	
70	86	3.88	3.98	0.051	0.456	56.5988	0.7276	5.27302	4.59729	
