Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	86	3.64	3.94	0.048	0.555	68.8423	0.8308	5.03065	4.55676	
1	86	6.13	3.91	0.046	0.496	61.5064	0.8103	5.06607	4.52083	
2	86	3.24	3.92	0.050	0.449	55.7920	0.7228	5.55902	4.47292	
3	86	3.46	3.87	0.052	0.446	55.3320	0.7144	3.54921	4.47113	
4	86	2.76	3.96	0.049	0.445	55.2189	0.7144	3.70117	4.38318	
5	86	3.35	3.94	0.046	0.447	55.5458	0.7173	5.11127	4.47877	
6	86	3.97	3.84	0.051	0.447	55.5450	0.7175	4.06215	4.42955	
7	86	3.22	3.96	0.048	0.447	55.4729	0.7163	3.67895	4.47649	
8	86	3.92	3.90	0.055	0.449	55.6830	0.7202	4.76813	4.27855	
9	86	3.22	4.09	0.051	0.447	55.4867	0.7167	3.72279	4.34654	
10	86	4.32	3.88	0.051	0.450	55.8074	0.7218	3.19339	4.40646	
11	86	4.71	3.84	0.056	0.447	55.5093	0.7164	6.66532	4.36972	
12	86	3.52	3.93	0.048	0.455	56.5217	0.7349	6.06671	4.42157	
13	86	4.00	3.81	0.056	0.449	55.7805	0.7212	3.73997	4.34840	
14	86	3.66	3.94	0.050	0.448	55.6104	0.7180	4.77540	4.31407	
15	86	3.33	3.79	0.051	0.448	55.5976	0.7177	3.32487	4.31443	
16	86	3.28	3.82	0.051	0.449	55.7959	0.7225	5.98461	4.37184	
17	86	4.38	3.88	0.051	0.448	55.7067	0.7211	3.45913	4.32653	
18	86	3.80	3.89	0.050	0.449	55.7312	0.7204	4.56775	4.35013	
19	86	3.86	3.92	0.048	0.447	55.5394	0.7169	5.95001	4.29351	
20	86	4.51	3.83	0.056	0.447	55.5201	0.7170	3.69665	4.33015	
21	86	3.45	3.82	0.051	0.446	55.3800	0.7153	4.57746	4.28885	
22	86	4.08	3.79	0.061	0.449	55.7902	0.7221	4.66080	4.31880	
23	86	3.46	3.94	0.046	0.448	55.5936	0.7193	4.51580	4.29848	
24	86	3.50	3.88	0.060	0.447	55.5357	0.7175	4.39479	4.27099	
25	86	5.07	3.78	0.061	0.445	55.2513	0.7136	3.60624	4.31384	
26	86	3.29	3.77	0.051	0.446	55.3973	0.7179	4.37408	4.32927	
27	86	4.46	3.80	0.048	0.446	55.3375	0.7165	5.13570	4.34388	
28	86	5.47	3.82	0.051	0.449	55.7014	0.7210	3.93958	4.27952	
29	86	3.31	3.92	0.049	0.447	55.5127	0.7182	4.06624	4.25303	
30	86	3.94	3.84	0.051	0.444	55.1105	0.7130	6.59908	4.33280	
31	86	5.93	3.98	0.051	0.451	56.0345	0.7218	4.09701	4.24680	
32	86	4.43	3.88	0.050	0.444	55.1179	0.7140	5.12702	4.33090	
33	86	3.75	3.91	0.054	0.445	55.2656	0.7161	4.66838	4.28692	
34	86	3.88	3.87	0.061	0.444	55.1936	0.7146	4.18319	4.37500	
35	86	2.18	3.96	0.051	0.448	55.6455	0.7202	5.86834	4.25560	
36	86	3.44	3.93	0.047	0.449	55.6924	0.7213	4.45094	4.28224	
37	86	5.24	3.87	0.048	0.443	55.0613	0.7126	4.68088	4.34248	
38	86	4.23	3.80	0.051	0.443	55.0340	0.7119	4.55465	4.33541	
39	86	3.85	3.87	0.048	0.443	54.9938	0.7118	5.36123	4.31534	
40	86	4.15	3.80	0.051	0.449	55.7791	0.7233	4.44018	4.26810	
41	86	3.11	3.91	0.048	0.444	55.1667	0.7124	3.54360	4.23988	
42	86	3.58	3.89	0.051	0.444	55.1392	0.7124	4.22532	4.27801	
43	86	2.64	3.91	0.053	0.444	55.2096	0.7145	4.29023	4.33753	
44	86	4.21	4.01	0.057	0.445	55.2928	0.7162	5.69497	4.29619	
45	86	3.52	3.71	0.051	0.466	57.7774	0.7555	3.66564	4.27786	
46	86	2.87	3.92	0.051	0.445	55.2836	0.7159	4.08501	4.37255	
47	86	4.25	3.80	0.051	0.448	55.6714	0.7205	3.67996	4.24009	
48	86	3.60	3.85	0.051	0.449	55.7904	0.7223	4.81355	4.30012	
49	86	6.81	3.98	0.051	0.446	55.3361	0.7156	3.23571	4.31852	
50	86	3.57	3.93	0.053	0.444	55.0832	0.7121	3.84646	4.23109	
51	86	3.78	3.82	0.052	0.446	55.3349	0.7156	4.04692	4.25072	
52	86	3.57	3.90	0.056	0.451	56.0957	0.7272	4.21945	4.21813	
53	86	4.44	4.21	0.050	0.450	55.9053	0.7250	4.61971	4.30554	
54	86	3.08	3.77	0.061	0.447	55.4875	0.7185	3.97417	4.33385	
55	86	4.36	3.83	0.051	0.444	55.1328	0.7125	3.31860	4.20916	
56	86	3.95	3.88	0.051	0.446	55.3679	0.7159	4.07742	4.19215	
57	86	3.71	3.88	0.049	0.444	55.0951	0.7122	3.24937	4.22658	
58	86	4.47	3.76	0.056	0.443	55.0806	0.7118	4.27611	4.18546	
59	86	3.67	3.84	0.047	0.447	55.5093	0.7173	5.06866	4.24607	
60	86	3.01	4.00	0.051	0.449	55.7555	0.7228	4.06627	4.25957	
61	86	3.88	3.99	0.051	0.446	55.3683	0.7168	3.95216	4.20362	
62	86	5.71	3.97	0.046	0.452	56.1097	0.7257	4.70111	4.26516	
63	86	3.90	3.90	0.049	0.446	55.4441	0.7178	4.27774	4.23858	
64	86	3.77	3.82	0.048	0.451	55.9854	0.7228	4.96134	4.27839	
65	86	3.13	3.89	0.051	0.448	55.6046	0.7196	3.81077	4.24767	
66	86	5.69	3.85	0.047	0.447	55.5144	0.7185	3.77918	4.22338	
67	86	4.00	3.94	0.046	0.445	55.2109	0.7142	5.18099	4.17633	
68	86	2.92	3.89	0.058	0.446	55.3762	0.7163	3.71351	4.31068	
69	86	3.06	3.91	0.051	0.445	55.2168	0.7146	3.19749	4.27038	
70	86	4.07	3.92	0.051	0.445	55.1971	0.7139	4.15098	4.18494	
71	86	3.16	3.96	0.051	0.446	55.3733	0.7166	6.22041	4.30576	
72	86	5.42	3.89	0.051	0.449	55.7685	0.7209	4.03912	4.24017	
73	86	3.65	3.93	0.048	0.447	55.4590	0.7173	4.71556	4.23541	
74	86	3.23	3.90	0.057	0.446	55.3050	0.7158	3.66621	4.27410	
75	86	4.39	3.81	0.057	0.446	55.3331	0.7153	3.68848	4.22507	
76	86	3.33	3.96	0.057	0.445	55.2739	0.7150	3.80902	4.28330	
77	86	4.22	3.81	0.051	0.446	55.4585	0.7173	5.27430	4.36379	
78	86	2.69	3.98	0.050	0.443	55.0604	0.7118	5.94653	4.31602	
79	86	4.34	3.92	0.060	0.447	55.5827	0.7190	5.68112	4.17401	
80	86	2.63	3.78	0.051	0.450	55.9307	0.7248	4.19853	4.30854	
81	86	3.10	3.94	0.051	0.444	55.1789	0.7138	4.79503	4.28198	
82	86	2.88	3.90	0.051	0.444	55.1770	0.7136	4.33880	4.18738	
83	86	3.98	3.82	0.054	0.445	55.3236	0.7158	4.90329	4.19273	
84	86	5.00	3.83	0.051	0.446	55.3815	0.7176	4.31636	4.31360	
85	86	2.86	3.92	0.051	0.443	55.0184	0.7112	4.32083	4.24229	
86	86	2.51	3.95	0.048	0.442	54.9038	0.7098	4.36880	4.31246	
87	86	3.55	3.98	0.048	0.448	55.6143	0.7199	3.58460	4.21976	
88	86	4.20	3.91	0.054	0.448	55.6466	0.7201	4.45457	4.28145	
89	86	5.33	3.94	0.051	0.446	55.3483	0.7163	4.28231	4.19634	
90	86	3.68	3.92	0.061	0.444	55.1846	0.7136	3.52090	4.24221	
91	86	3.65	3.86	0.053	0.445	55.2626	0.7134	7.33646	4.25525	
92	86	4.24	3.85	0.051	0.446	55.3210	0.7162	5.16810	4.21774	
93	86	3.22	3.87	0.048	0.443	55.0714	0.7123	4.03790	4.27390	
94	86	3.28	3.92	0.054	0.449	55.7406	0.7215	3.80278	4.23743	
95	86	3.73	3.94	0.053	0.447	55.5595	0.7185	3.20478	4.21384	
96	86	3.20	3.84	0.048	0.447	55.4970	0.7192	5.01148	4.21923	
97	86	4.40	3.74	0.053	0.447	55.5315	0.7188	3.60566	4.25362	
98	86	3.01	3.91	0.056	0.566	70.1865	0.8397	3.86663	4.29898	
99	86	5.53	4.06	0.069	0.558	69.2495	0.8465	4.47474	4.35625	
100	86	3.33	3.92	0.076	0.573	71.0332	0.8656	5.33348	4.19767	
